amplicon_number,ado_rate
AMPL250217,0.005770895
AMPL257565,0.003943445
AMPL257566,0.049437338
AMPL253201,0.005578532
AMPL257567,0.008271617
AMPL250219,0.093055689
AMPL248729,0.026978936
AMPL251098,0.020150043
AMPL151786,0.003077811
AMPL250221,0.010002885
AMPL250222,0.00543426
AMPL253209,0.067423295
AMPL253210,0.003077811
AMPL253211,0.004424353
AMPL248732,0.010483793
AMPL248733,0.041983264
AMPL257571,0.003270174
AMPL257753,0.003510628
AMPL253216,0.137154949
AMPL253217,0.008415889
AMPL253218,0.067759931
AMPL253219,0.009473887
AMPL253220,0.002837357
AMPL253221,0.003799173
AMPL253222,0.006973165
AMPL253223,0.004183899
AMPL248743,0.005530441
AMPL248744,0.00423199
AMPL253226,0.028036934
AMPL253227,0.004183899
AMPL248748,0.069202655
AMPL115238,0.018034048
AMPL251104,0.220640569
AMPL257574,0.002644994
AMPL251106,0.009233433
AMPL251107,0.028758296
AMPL250226,0.006973165
AMPL112922,0.134558046
AMPL248758,0.013032606
AMPL250228,0.21039723
AMPL257576,0.007502164
AMPL257777,0.034096374
AMPL250230,0.003702991
AMPL93537,0.011397519
AMPL251114,0.011541791
AMPL257577,0.00788689
AMPL250232,0.040348177
AMPL250234,0.025728576
AMPL250235,0.002644994
AMPL250236,0.106761566
AMPL250237,0.008896797
AMPL250238,0.022314129
AMPL253250,0.015821872
AMPL187925,0.018659229
AMPL257578,0.03020102
AMPL121280,0.016254689
AMPL257792,0.007502164
AMPL59620,0.009473887
AMPL250241,0.01211888
AMPL251125,0.144416659
AMPL61654,0.004376262
AMPL250242,0.006925075
AMPL250243,0.007357892
AMPL250245,0.061267673
AMPL244809,0.120178898
AMPL244810,0.007309801
AMPL253264,0.007165529
AMPL244812,0.003173992
AMPL244813,0.008608252
AMPL8463,0.221361931
AMPL244815,0.003366356
AMPL244816,0.002596903
AMPL244817,0.011205155
AMPL244818,0.013224969
AMPL244819,0.009858613
AMPL253273,0.010099067
AMPL253274,0.02418967
AMPL244822,0.006588439
AMPL253276,0.003991536
AMPL253277,0.00543426
AMPL253278,0.058141772
AMPL253279,0.086803886
AMPL244828,0.016206598
AMPL244829,0.021881312
AMPL244830,0.016976051
AMPL253283,0.00360681
AMPL257586,0.004760989
AMPL239235,0.005818986
AMPL250249,0.009714341
AMPL250251,0.252813312
AMPL257588,0.168798692
AMPL253289,0.547657978
AMPL250253,0.009906704
AMPL251135,0.012359334
AMPL253292,0.012503607
AMPL165734,0.538039819
AMPL165735,0.012551698
AMPL253295,0.019092046
AMPL59152,0.003847264
AMPL253297,0.00302972
AMPL249250,0.004568626
AMPL249251,0.00360681
AMPL253300,0.003125902
AMPL165742,0.002885448
AMPL165743,0.003173992
AMPL165744,0.213186496
AMPL250255,0.003751082
AMPL251137,0.008848706
AMPL244843,0.005386169
AMPL248805,0.039819179
AMPL248806,0.004039627
AMPL248807,0.003847264
AMPL251138,0.026642301
AMPL253311,0.00480908
AMPL253312,0.007213619
AMPL250256,0.003751082
AMPL251140,0.017216505
AMPL251141,0.004183899
AMPL251142,0.239155526
AMPL252824,0.010483793
AMPL252825,0.006203713
AMPL252826,0.016110416
AMPL252827,0.004472444
AMPL121707,0.009377705
AMPL248809,0.009329614
AMPL251144,0.005289987
AMPL250258,0.004953352
AMPL250259,0.007550255
AMPL257594,0.032317015
AMPL250260,0.607146292
AMPL250261,0.003991536
AMPL257595,0.022073675
AMPL40482,0.007405982
AMPL253331,0.009329614
AMPL251151,0.010147158
AMPL251152,0.007502164
AMPL251153,0.116908724
AMPL250264,0.004760989
AMPL257597,0.603683755
AMPL250265,0.010964701
AMPL251157,0.003751082
AMPL13842,0.008752525
AMPL251159,0.121092623
AMPL52291,0.008848706
AMPL250267,0.005770895
AMPL244847,0.028565932
AMPL253924,0.008223526
AMPL253343,0.020967587
AMPL244850,0.342839281
AMPL244851,0.005193806
AMPL253345,0.054534962
AMPL244853,0.00485717
AMPL253347,0.004953352
AMPL244854,0.033086467
AMPL253349,0.005193806
AMPL244856,0.011734154
AMPL244857,0.008127344
AMPL250268,0.00423199
AMPL257600,0.008800616
AMPL251162,0.021015678
AMPL177159,0.005049534
AMPL250270,0.007983072
AMPL253357,0.007934981
AMPL253358,0.040877176
AMPL248826,0.003943445
AMPL250271,0.157497355
AMPL257602,0.004616716
AMPL257603,0.029720112
AMPL248830,0.565932481
AMPL250274,0.035250553
AMPL119939,0.020390497
AMPL250276,0.00605944
AMPL257605,0.61003174
AMPL251171,0.026786573
AMPL251172,0.409445032
AMPL257606,0.011012792
AMPL166269,0.012503607
AMPL115555,0.010195249
AMPL250279,0.008752525
AMPL250280,0.004087718
AMPL253375,0.01389824
AMPL250282,0.012407425
AMPL257608,0.014619602
AMPL257918,0.064634029
AMPL253379,0.031980379
AMPL248841,0.254063672
AMPL250283,0.607242474
AMPL251179,0.415023564
AMPL250284,0.004039627
AMPL250285,0.032749832
AMPL257609,0.007790709
AMPL248842,0.004953352
AMPL248843,0.002452631
AMPL248844,0.002164086
AMPL248845,0.002067904
AMPL253390,0.006444167
AMPL221874,0.175579494
AMPL250288,0.017697413
AMPL257611,0.008415889
AMPL251185,0.007405982
AMPL251186,0.023227854
AMPL257612,0.190872367
AMPL257613,0.005674714
AMPL177184,0.871597576
AMPL250290,0.072424738
AMPL257614,0.00485717
AMPL253401,0.004135808
AMPL248849,0.030681927
AMPL119983,0.006973165
AMPL250291,0.054246417
AMPL253405,0.006396076
AMPL253406,0.002500721
AMPL251192,0.011157065
AMPL151964,0.010579975
AMPL250293,0.014715783
AMPL250294,0.086707704
AMPL253411,0.005530441
AMPL253412,0.081946715
AMPL250295,0.019909589
AMPL257617,0.005626623
AMPL250296,0.023612581
AMPL250297,0.009906704
AMPL113442,0.013224969
AMPL257618,0.010147158
AMPL250298,0.004712898
AMPL253420,0.005145715
AMPL248866,0.002789266
AMPL253422,0.004616716
AMPL257621,0.003702991
AMPL122652,0
AMPL253425,4.81E-05
AMPL165609,9.62E-05
AMPL226340,0.132682505
AMPL257623,0.005915168
AMPL251202,0.008944888
AMPL251203,0.00726171
AMPL250300,0.730499182
AMPL257624,0.018034048
AMPL160274,0.102866211
AMPL160275,0.0036549
AMPL250301,0.105463114
AMPL11982,0.005001443
AMPL251207,0.006107531
AMPL257628,0.005626623
AMPL257629,0.02539194
AMPL257630,0.046599981
AMPL250304,0.01452342
AMPL257631,0.029912475
AMPL126740,0.015821872
AMPL143573,0.011926517
AMPL257985,0.02115995
AMPL257986,0.031066654
AMPL257987,0.011878426
AMPL257988,0.003510628
AMPL250307,0.003991536
AMPL120016,0.005386169
AMPL250309,0.006492257
AMPL115655,0.003125902
AMPL115656,0.005530441
AMPL115657,0.16019044
AMPL113204,0.104212754
AMPL4077,0.079349812
AMPL115660,0.007405982
AMPL253455,0.004039627
AMPL253456,0.005963259
AMPL165898,0.033086467
AMPL165899,0.005049534
AMPL165900,0.003125902
AMPL165901,0.005338078
AMPL165902,0.006444167
AMPL165903,0.025151486
AMPL257633,0.013465423
AMPL250312,0.601808214
AMPL128656,0.655717996
AMPL251220,0.003270174
AMPL248894,0.073242281
AMPL242360,0.19164182
AMPL253469,0.007502164
AMPL253470,0.003318265
AMPL253471,0.007021256
AMPL242364,0.357747427
AMPL253472,0.00788689
AMPL242366,0.016543234
AMPL242367,0.005049534
AMPL242368,0.005674714
AMPL59786,0.002356449
AMPL253477,0.003366356
AMPL242370,0.003318265
AMPL257635,0.011878426
AMPL257636,0.008848706
AMPL250316,0.003847264
AMPL257637,0.006396076
AMPL257638,0.006684621
AMPL251225,0.737664711
AMPL250318,0.046359527
AMPL257639,0.006107531
AMPL251228,0.005049534
AMPL249436,0.156487448
AMPL13179,0.02058286
AMPL253490,0.023179763
AMPL253491,0.014427239
AMPL252829,0.004328172
AMPL252830,0.004087718
AMPL252831,0.007646436
AMPL252832,0.031739925
AMPL257645,0.005001443
AMPL252834,0.007598346
AMPL252605,0.044916803
AMPL250319,0.013609695
AMPL251230,0.962729634
AMPL250320,0.030970472
AMPL250321,0.020246225
AMPL257654,0.029239204
AMPL251234,0.225113013
AMPL257655,0.016879869
AMPL251236,0.015004328
AMPL251237,0.005001443
AMPL251238,0.071030105
AMPL251239,0.007550255
AMPL44548,0.008079254
AMPL250326,0.006973165
AMPL117931,0.621429258
AMPL91658,0.007309801
AMPL253520,0.013369241
AMPL251243,0.004135808
AMPL257659,0.004280081
AMPL257660,0.008752525
AMPL113492,0.007117438
AMPL253525,0.011541791
AMPL250327,0.005289987
AMPL93658,0.004616716
AMPL251245,0.00302972
AMPL253529,0.029672021
AMPL250328,0.005915168
AMPL250330,0.006925075
AMPL257664,0.005289987
AMPL251249,0.00423199
AMPL38584,0.005867077
AMPL115373,0.010435703
AMPL38586,0.012455516
AMPL38587,0.011541791
AMPL115376,0.026690391
AMPL253539,0.075887275
AMPL253540,0.008992979
AMPL253541,0.008704434
AMPL248928,0.004183899
AMPL248929,0.002885448
AMPL235278,0.804607098
AMPL117568,0.0078388
AMPL250334,0.003366356
AMPL118221,0.040203905
AMPL250335,0.014571511
AMPL253549,0.007021256
AMPL253550,0.023227854
AMPL248935,0.025728576
AMPL244869,0.00360681
AMPL253553,0.008319708
AMPL249492,0.006780802
AMPL244872,0.004183899
AMPL244873,0.014571511
AMPL244874,0.056362412
AMPL244875,0.002500721
AMPL244876,0.030970472
AMPL244877,0.014619602
AMPL257667,0.006011349
AMPL250338,0.005001443
AMPL250339,0.004183899
AMPL257668,0.006684621
AMPL250340,0.531643743
AMPL250341,0.015004328
AMPL160828,0.357074156
AMPL253568,0.004280081
AMPL251263,0.009954795
AMPL44712,0.006973165
AMPL141884,0.007117438
AMPL253572,0.004520535
AMPL253573,0.008223526
AMPL253574,0.117485813
AMPL248950,0.376983745
AMPL41864,0.007069347
AMPL253577,0.00485717
AMPL250344,0.257333846
AMPL250345,0.017889776
AMPL253580,0.006155622
AMPL253581,0.004953352
AMPL38486,0.006684621
AMPL253583,0.004376262
AMPL253584,0.016014235
AMPL253585,0.008800616
AMPL253586,0.004616716
AMPL253587,0.004616716
AMPL253588,0.044291623
AMPL253589,0.016831778
AMPL51946,0.013513514
AMPL257674,0.012455516
AMPL251275,0.008848706
AMPL250349,0.00423199
AMPL250350,0.014331057
AMPL251278,0.050110609
AMPL257675,0.012359334
AMPL257676,0.007502164
AMPL250352,0.103250938
AMPL251281,0.025872848
AMPL250353,0.798547658
AMPL115769,0.135808406
AMPL251284,0.004135808
AMPL251285,0.073867462
AMPL251286,0.053428874
AMPL250355,0.011589882
AMPL250357,0.009377705
AMPL257678,0.005289987
AMPL244879,0.389439261
AMPL253609,0.016014235
AMPL253610,0.00543426
AMPL244662,0.181109936
AMPL244663,0.163172069
AMPL244664,0.625372704
AMPL244665,0.267577186
AMPL244666,0.434307973
AMPL244667,0.004664807
AMPL244668,0.075262095
AMPL244669,0.748773685
AMPL244670,0.006876984
AMPL254204,0.019717226
AMPL250358,0.004760989
AMPL250359,0.005578532
AMPL253619,0.008992979
AMPL257680,0.568673656
AMPL250361,0.011060883
AMPL257681,0.00360681
AMPL250363,0.015196691
AMPL253624,0.00966625
AMPL124269,0.43286525
AMPL113643,0.089977878
AMPL3836,0.288496682
AMPL253628,0.005097624
AMPL248970,0.019428681
AMPL250364,0.003558719
AMPL251297,0.657737809
AMPL251298,0.006347985
AMPL125238,0.020775224
AMPL250366,0.006684621
AMPL253635,0.514090603
AMPL253636,0.010195249
AMPL257683,0.012022699
AMPL115788,0.132874868
AMPL113790,0.009954795
AMPL115428,0.003125902
AMPL253641,0.004616716
AMPL172761,0.003366356
AMPL115316,0.003077811
AMPL2967,0.026257574
AMPL9336,0.071559104
AMPL591,0.05318842
AMPL257685,0.210781956
AMPL251306,0.049822064
AMPL257686,0.068048476
AMPL253650,0.0036549
AMPL257687,0.011589882
AMPL257688,0.005722805
AMPL257689,0.004039627
AMPL253654,0.026449937
AMPL120246,0.013561604
AMPL253656,0.014811965
AMPL209823,0.012359334
AMPL257692,0.021929403
AMPL115816,0.004472444
AMPL257693,0.570982014
AMPL252694,0.004616716
AMPL252695,0.002164086
AMPL248996,0.005722805
AMPL250376,0.002115995
AMPL252698,0.005867077
AMPL257694,0.019621045
AMPL257695,0.007069347
AMPL250379,0.049244975
AMPL251314,0.02659421
AMPL251315,0.003847264
AMPL251316,0.004905261
AMPL253672,0.29200731
AMPL253673,0.895113975
AMPL253674,0.005049534
AMPL250381,0.027027027
AMPL249606,0.003751082
AMPL249000,0.006684621
AMPL257699,0.035971915
AMPL253679,0.0078388
AMPL249003,0.012840242
AMPL253681,0.162258344
AMPL250383,0.032413196
AMPL257559,0.048812157
AMPL257560,0.456670193
AMPL257561,0.459363278
AMPL167407,0.01510051
AMPL167408,0.008752525
AMPL167409,0.003943445
AMPL244732,0.151389824
AMPL254272,0.019861499
AMPL84671,0.017937867
AMPL84512,0.009810522
AMPL244736,0.009570068
AMPL244737,0.030537655
AMPL244738,0.010724247
AMPL244739,0.004087718
AMPL244740,0.037318457
AMPL244741,0.004664807
AMPL253689,0.198663076
AMPL253690,0.049533519
AMPL253691,0.81985188
AMPL44652,0.0193325
AMPL44653,0.004376262
AMPL44654,0.004328172
AMPL44655,0.055689141
AMPL138094,0.00302972
AMPL138095,0.003318265
AMPL138096,0.014763874
AMPL138097,0.005818986
AMPL44659,0.103683755
AMPL138099,0.010339521
AMPL146646,0.006347985
AMPL253703,0.990429932
AMPL249649,0.093440416
AMPL146649,0.220881023
AMPL250389,0.038616909
AMPL250391,0.987544484
AMPL250393,0.010531884
AMPL257708,0.035923824
AMPL253710,0.005818986
AMPL117734,0.00908916
AMPL253712,0.0114937
AMPL250394,0.018899683
AMPL250395,0.008175435
AMPL251331,0.019524863
AMPL250396,0.098393767
AMPL250397,0.571511013
AMPL253718,0.00485717
AMPL251334,0.008367798
AMPL250399,0.011108974
AMPL249040,0.006828893
AMPL253722,0.005722805
AMPL257713,0.690680004
AMPL257714,0.003991536
AMPL242511,0.037703184
AMPL242512,0.026161393
AMPL176028,0.121236895
AMPL250404,0.006444167
AMPL250405,0.016495143
AMPL249045,0.039530634
AMPL257717,0.011974608
AMPL257718,0.003702991
AMPL146662,0.046648072
AMPL250407,0.157978263
AMPL250408,0.0653073
AMPL250409,0.073001827
AMPL251348,0.006540348
AMPL250410,0.03024911
AMPL250411,0.002837357
AMPL250412,0.017312686
AMPL257719,0.012647879
AMPL251353,0.15961335
AMPL250413,0.018899683
AMPL257721,0.017024142
AMPL233967,0.038616909
AMPL253746,0.301336924
AMPL250415,0.136241223
AMPL253748,0.017120323
AMPL257723,0.008367798
AMPL257724,0.004039627
AMPL250418,0.005530441
AMPL250419,0.013609695
AMPL250420,0.922573819
AMPL253754,0.006107531
AMPL249051,0.00788689
AMPL113384,0.155429451
AMPL251363,0.003270174
AMPL250422,0.437578148
AMPL166074,0.028806386
AMPL171265,0.061219583
AMPL253761,0.118351448
AMPL43318,0.043762624
AMPL253763,0.115946908
AMPL253764,0.087477157
AMPL253765,0.136866404
AMPL253766,0.054342599
AMPL250429,0.086274887
AMPL253768,0.022314129
AMPL257733,0.019140137
AMPL251370,0.125372704
AMPL250431,0.222083293
AMPL249062,0.013609695
AMPL253773,0.014379148
AMPL181095,0.025440031
AMPL257734,0.028662114
AMPL250434,0.030393383
AMPL250435,0.330624219
AMPL251376,0.246705781